nombre,id_formula
Fórmula 1,1
Fórmula 2,2
Fórmula 3,3
Fórmula 4,4
Fórmula 5,5
Fórmula 6,6
Fórmula 7,7
Fórmula 8,8
Fórmula 9,9
Fórmula 10,10
Fórmula 11,11
Fórmula 12,12
Fórmula 13,13
Fórmula 14,14
Fórmula 15,15
Fórmula 16,16
Fórmula 17,17
Fórmula 18,18
Fórmula 19,19
Fórmula 20,20
Fórmula 21,21
Fórmula 22,22
Fórmula 23,23
Fórmula 24,24
Fórmula 25,25
Fórmula 26,26
Fórmula 27,27
Fórmula 28,28
Fórmula 29,29
Fórmula 30,30
Fórmula 31,31
Fórmula 32,32
Fórmula 33,33
Fórmula 34,34
Fórmula 35,35
Fórmula 36,36
Fórmula 37,37
Fórmula 38,38
Fórmula 39,39
Fórmula 40,40
Fórmula 41,41
Fórmula 42,42
Fórmula 43,43
Fórmula 44,44
Fórmula 45,45
Fórmula 46,46
Fórmula 47,47
